title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,isrc,spotify_found,final_year
Train Kept A-Rollin,Aerosmith,1974,1974,musicbrainz,0,6zb4VGZE20uKHc0mydFgR5,Train Kept a Rollin',Aerosmith,USSM10022913,true,1974
Renegade,Styx,1978,1978,musicbrainz,0,1CQqupcyMg7176PPmIVmSj,Renegade,Styx,USAM17800365,true,1978
Come Sail Away,Styx,1977,1977,musicbrainz,0,0PsbWiVtix5FoTZ1s00mEl,Come Sail Away,Styx,USUMG0000438,true,1977
Hold the Line,Toto,1978,1978,musicbrainz,0,4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,USSM17800444,true,1978
Barracuda,Heart,1977,1977,musicbrainz,0,4KfSdst7rW39C0sfhArdrz,Barracuda,Heart,USSM10009075,true,1977
Slow Ride,Foghat,1975,1975,musicbrainz,0,5rTe42jWw9XBMwUog24we0,Slow Ride,Foghat,USRH10175135,true,1975
Eye of the Tiger,Survivor,1982,1982,musicbrainz,0,2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,USVR19300001,true,1982
Vehicle,The Ides of March,1970,1970,musicbrainz,0,6hnyQ0YpiO35rutiLLHLmr,Vehicle,The Ides Of March,USWB10107711,true,1970
25 or 6 to 4,Chicago,1970,1970,musicbrainz,0,7GqIDx2QVGOpd4r1fZaUUW,25 or 6 to 4 - 2002 Remaster,Chicago,USRH10285518,true,1970
Spinning Wheel,Blood Sweat & Tears,1968,1968,musicbrainz,0,0spSRHFS4zF4Imvz9sJcfL,Spinning Wheel,"Blood, Sweat & Tears",USSM19911961,true,1968
Rock You Like a Hurricane,Scorpions,1984,1984,musicbrainz,0,58dBJivB6lbAY5irCuAxJX,Rock You Like a Hurricane - 2015 - Remaster,Scorpions,DELV41501024,true,1984
No One Like You,Scorpions,1982,1982,musicbrainz,0,1grvqYbhgqJxwdzeY1vgSb,No One Like You - 2015 - Remaster,Scorpions,DELV41501039,true,1982
Heat of the Moment,Asia,1982,1982,musicbrainz,0,1nmZ8yqKkfooOuYvtFctDp,Heat Of The Moment,Asia,USGF18200801,true,1982
The Final Countdown,Europe,1986,1986,musicbrainz,0,3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,USSM18600196,true,1986
Tom Sawyer,Rush,1981,1981,musicbrainz,0,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,USMR18180103,true,1981
Limelight,Rush,1981,1981,musicbrainz,0,0K6yUnIKNsFtfIpTgGtcHm,Limelight,Rush,USMR18180106,true,1981
YYZ,Rush,1981,1981,musicbrainz,0,3lpDrxUkr0tIe1kmJvdK7d,YYZ,Rush,USMR18180105,true,1981
Spirit of Radio,Rush,1980,1980,musicbrainz,0,4e9hUiLsN4mx61ARosFi7p,The Spirit Of Radio,Rush,USMR18070028,true,1980
Living After Midnight,Judas Priest,1980,1980,musicbrainz,0,0IXpUl1fn2QZcBavfuq0H4,Living After Midnight,Judas Priest,GBBBN8000005,true,1980
Breaking the Law,Judas Priest,1980,1980,musicbrainz,0,2RaA6kIcvomt77qlIgGhCT,Breaking the Law,Judas Priest,GBBBN8000007,true,1980
You've Got Another Thing Comin',Judas Priest,1982,1982,musicbrainz,0,4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Comin',Judas Priest,GBBBN8202007,true,1982
Painkiller,Judas Priest,1990,1990,musicbrainz,0,0L7zm6afBEtrNKo6C6Gj08,Painkiller,Judas Priest,GBBBN0102557,true,1990
Peace Sells,Megadeth,1986,1986,musicbrainz,0,5a2hIQWInPjqkkFiUEgxoX,Peace Sells - Remastered,Megadeth,USCA21101251,true,1986
Raining Blood,Slayer,1986,1986,musicbrainz,0,4fiOTntQKr24p07FvQDHZE,Raining Blood,Slayer,USSM18600241,true,1986
Angel of Death,Slayer,1986,1986,musicbrainz,0,5ohfpKB5tt275f4Y4lQ9F7,Angel Of Death,Slayer,USSM18600233,true,1986
South of Heaven,Slayer,1988,1988,musicbrainz,0,3U9gogDStAfWxSm91PJuxb,South Of Heaven,Slayer,USSM18800154,true,1988
Bodies,Drowning Pool,2001,2001,musicbrainz,0,7CpbhqKUedOIrcvc94p60Y,Bodies,Drowning Pool,USWU30006502,true,2001
Driven Under,Seether,2002,2002,musicbrainz,0,3pavDZo8o2ctgkVhERSzy6,Driven Under,Seether,USWU30200018,true,2002
Fine Again,Seether,2002,2002,musicbrainz,0,4eTIe5eqds88bA9ua6p5p6,Fine Again,Seether,USWU30200015,true,2002
Animal I Have Become,Three Days Grace,2006,2006,musicbrainz,0,5eFxwmqKrHpSQDOEIFYlgY,Animal I Have Become,Three Days Grace,USJI10600117,true,2006
I Hate Everything About You,Three Days Grace,2003,2003,musicbrainz,0,6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace,USJI10300075,true,2003
The Beautiful People,Marilyn Manson,1996,1996,musicbrainz,0,2aIB1CdRRG7YLBu9hNw9nR,The Beautiful People,Marilyn Manson,USIR19601008,true,1996
Sweet Dreams,Marilyn Manson,1995,1995,musicbrainz,0,2302lUwfZ4S4dVyPOCDFnQ,Sweet Dreams (Are Made Of This),Marilyn Manson,USIR19500314,true,1995
Bring the Noise,Anthrax,1991,1991,musicbrainz,0,1p50Ir1Hm6Sa1urjaLGi7L,Bring The Noise,Anthrax,USIR29100046,true,1991
Indians,Anthrax,1987,1987,musicbrainz,0,1fcyfC1KLSWVCIvALR5AxS,Indians,Anthrax,USIR28600022,true,1987
Caught in a Mosh,Anthrax,1987,1987,musicbrainz,0,4fjWStUaP7aXdT0d3YxvPo,Caught In A Mosh,Anthrax,USIR28600018,true,1987
